Moisture,Temperature,pH,Support Growth
0.67,33.73,13.66,No
17.07,3.45,3.32,No
73.21,29.65,10.45,Yes
72.84,49.95,4.32,No
7.28,29.56,10.03,No
47.35,23.49,8.71,No
69.95,46.81,6.06,No
11.33,44.71,11.19,No
83.23,0.87,2.39,No
15.02,49.97,0.52,No
69.32,2.65,9.36,No
95.83,43.79,1.03,No
60.01,27.43,8.21,No
0.96,30.42,11.03,No
23.01,22.12,0.3,No
68.99,28.11,7.4,No
48.42,41.08,4.95,No
20.38,45.34,4.51,No
65.4,11.41,3.6,No
23.39,29.9,3.35,No
46.8,40.84,5.66,No
30.26,16.15,11.19,No
14.6,3.77,8.36,No
89.59,3.62,13.65,No
75.1,17.49,8.06,No
7.93,2.64,0.04,No
69.09,42.33,12.5,No
56.69,26.37,4,No
65.5,31.25,3.34,Yes
71.22,38.53,6.44,No
80.31,48.85,0.28,No
41.49,44.76,5.8,No
80.87,25.5,10.51,No
75.71,29.26,1.09,No
79.7,14.63,10.84,No
2.84,25.72,5.13,No
78.88,23.77,8.69,No
60.9,26.62,7.31,No
51.05,15.88,5.24,No
31.65,39.17,7.75,No
41.73,33.85,0.4,No
70.22,4.62,4.19,No
69.15,24.87,11.24,No
11.23,10,8.3,No
72.31,25.29,3.32,No
13.61,20.62,9.11,No
91.91,39.65,11.59,No
15.25,14.94,3.5,No
71.5,11.5,7.43,No
51.08,1.7,6.99,No
64.68,46.57,11.68,No
41.7,18.19,2.07,No
30.66,40.25,9.52,No
84.23,35.16,7.11,No
24.96,43.21,4.21,No
21.51,40.99,4.74,No
59.25,44.68,9.67,No
65.36,14.07,6.81,No
92.56,8.07,12.27,No
18.88,33.38,10.42,No
3.77,47.21,0.88,No
99.59,43.16,1.8,No
24.41,40.66,8.44,No
35.22,7.6,11.71,No
84.66,44.69,9.43,No
16.59,0.33,3.81,No
2.72,5.33,1.92,No
83.53,29.43,11.02,No
13.46,26.2,8.76,No
67.66,16.35,10.66,No
59.81,43.02,5.64,No
17.58,42.47,5.48,No
64.15,33.79,4.23,Yes
80.88,32.63,0.33,No
21.51,11.55,0.57,No
44.16,24.06,12.85,No
73.21,21.2,13.52,No
6.92,9.53,10.71,No
85.69,29.45,4.07,No
83.57,41.74,13.62,No
23.81,28.69,9.25,No
90.68,36.29,6.29,No
76.7,43.87,13.96,No
32.85,1.52,12.48,No
6.42,12.43,10.89,No
73.61,21.04,3.95,No
54.91,36.4,8.06,No
55.91,21.56,7.98,No
56.91,0.27,0.35,No
69.57,45.53,1.33,No
44.55,39.88,9.6,No
44.77,12.78,6.57,No
88.57,16.88,0.27,No
83.65,0.9,5.63,No
89.73,23.34,9.63,No
70.99,2.85,0.95,No
77.65,36.82,12.12,No
92.52,21.45,2.04,No
52.72,38.7,4.47,No
52.14,39.69,4.02,No
95.17,10.35,4.82,No
55.68,36.13,6.37,No
18.22,12.5,5.08,No
7.5,13.64,12.32,No
90.49,33.97,13.87,No
89.86,32.02,2.68,No
19.63,11.52,12.78,No
11.25,37.62,9.38,No
16.35,6.28,13.28,No
18.23,31.99,0.36,No
74.37,10.82,10.22,No
99.13,3.41,4.88,No
24.61,12.49,4.67,No
4.66,31.76,13.04,No
87.26,20.23,5.08,No
13.38,7.94,5.9,No
43.45,4.76,10.41,No
31.08,44.79,13.37,No
61.22,49.92,0.18,No
66.49,20.78,6.98,Yes
77,43.66,11.27,No
82.52,48.32,10.7,No
37.22,21.1,9.68,No
89.77,33.85,2.93,No
69.06,35.77,1.17,No
9.99,1.47,0.84,No
48.96,40.67,9.09,No
83.65,39.51,12.82,No
77.42,8.82,12.68,No
36.6,0.49,3.63,No
93.92,34.83,9.51,No
51.45,32.41,5.53,Yes
88.57,29.58,6.58,No
81.84,38,12.45,No
41.75,20.5,0.81,No
63.32,19.97,4.07,No
87.79,42.77,7.63,No
48.35,23.75,4.98,No
81.92,27.25,0.86,No
35.56,46.21,9.26,No
10.63,41.29,8.58,No
53.45,43.82,0.41,No
18.58,45.53,1.21,No
9.11,15.55,0.99,No
7.22,48.92,2.93,No
52.87,13.43,0.09,No
30.66,31.73,6.04,Yes
63.51,41.78,12.2,No
63.9,3.31,5.9,No
1.5,12.55,5.03,No
82.95,16.95,9,No
61.15,6.91,1.03,No
73.74,10.91,13.73,No
26.32,28.88,8.48,No
92.3,21.33,0.63,No
89.78,23.24,8.54,No
70.22,48.43,13.19,No
15.97,11.3,4.91,No
92.05,24.9,10.62,No
97.88,49.83,1.2,No
1.87,40.14,5.95,No
34.45,28.97,13.8,No
74.34,45.71,0.65,No
4.21,49.46,13.88,No
41.01,17.39,9.01,No
20.51,35.43,7.69,No
44.96,25.38,4.06,No
10.71,19.93,10.52,No
61.34,38.54,2.35,No
72.61,4.5,13.15,No
47.69,0.46,13.78,No
37.13,39.06,12.72,No
59.55,32.6,3.46,Yes
99.69,48.37,2.83,No
46.99,1.23,6.24,No
29.25,27.93,7.78,No
86.81,24.1,3.34,No
69.63,9.9,3.99,No
80.67,31.27,8.6,No
57.62,44.45,13.18,No
27.69,32.18,12.92,Yes
13.47,48.4,5.55,No
26.9,23.22,4.3,No
15.28,5.52,8.8,No
16.3,43.9,10.79,No
11.81,39.83,10.57,No
98.69,18.49,9.03,No
67.3,31.52,2.08,Yes
96.9,32.56,6.97,No
78.47,47.51,5.94,No
77.54,34.43,0.89,No
31.31,33.75,8.15,No
35.13,25.55,10.34,No
38.26,15.88,9.4,No
67.29,22.81,3.36,No
89.65,40.79,1.77,No
45.5,27.1,1.6,No
65.96,39.19,4.56,No
46.62,19.53,10.42,No
27.42,23.71,2.68,No
36.84,47.97,3.23,No
4.76,39.89,0.57,No
29.29,30.67,13.38,Yes
10.6,47.36,5.08,No
31.38,8.56,13.3,No
11.43,10.61,3.81,No
48.7,44.21,7.61,No
67.29,18.89,10.52,No
88.71,30.94,6.26,Yes
15.17,38.88,9.8,No
71.66,7.36,2.29,No
39.24,37.53,4.32,No
55.08,16.61,5.43,No
64.51,16.02,5.72,Yes
10.7,4.19,5.53,No
89.07,1.85,9.48,No
5.11,37.35,12.32,No
91.9,28.13,2.56,No
3.8,24.3,4.93,No
93.34,43,7.07,No
40.66,45.01,4.47,No
93.07,6.21,12.25,No
85.29,4.9,0.73,No
77.78,34.59,5.36,No
13.18,16.53,5.95,No
47.39,7.37,5.65,No
32.16,18.46,9.61,No
46.21,28.71,5.01,No
46.18,20.59,13.85,No
68.87,23.52,0.42,No
47.15,40.59,5.16,No
48.2,11.34,11.76,No
67.59,8.83,7.44,No
45.76,45.21,0.6,No
46.26,36.01,10.07,No
88.82,32.27,10.52,No
33.1,8.95,3.14,No
95.5,32.77,3.94,No
56.95,6.43,1.33,No
30.72,49.02,9.94,No
43.02,22.54,1.83,No
26.29,29.54,2.38,Yes
2.48,41.44,7.82,No
42.13,40.59,9.01,No
46.05,39.83,1.95,No
66.15,11.52,10.86,No
36.57,34.24,10.69,No
6.17,9.72,3.32,No
68.76,7.54,2.3,No
17.36,2.4,8.68,No
7.72,44.46,11.45,No
12.84,13.86,9.7,No
38.29,33.72,10.93,No
54.33,9.67,11.07,No
61.87,21.5,13.51,No
39.33,5.04,9.77,No
63.46,4.83,6.26,No
55.87,43.74,6.18,No
45.7,41.94,6.95,No
17.33,34.97,11.81,No
34.4,24.03,9.24,No
48.62,24.63,6.33,Yes
73,5.49,10.44,No
23.83,7.1,7.93,No
8.64,14.21,5.1,No
87.7,14.11,3.6,No
41.27,1.21,9,No
74.98,20.06,11.3,No
59.92,4.02,3.3,No
68.69,47.54,9.22,No
95.6,38.46,5.12,No
95.32,17.53,6.72,No
53.96,38.78,7.77,No
85.65,25.98,5.79,No
38.16,18.7,7.58,No
15.35,32.89,12.14,No
80.83,8.26,3.57,No
83.66,7.89,13.43,No
48.6,22.89,2.9,No
62.72,7.64,10.6,No
27.24,49,5.49,No
11.82,28.01,9.47,No
14.53,8.75,10.62,No
53.5,9.79,4.78,No
48.28,4.6,6.01,No
77.03,49.34,7.41,No
62.43,13.52,6.13,Yes
51.95,20.44,1.02,No
63.3,37.29,9.55,No
45.88,3.3,4.38,No
42.46,7.55,5.97,No
84.61,0.65,9.66,No
8.85,40.16,8.58,No
39.36,34.04,2.57,No
99.44,13.61,11.51,No
67.37,29.09,7.36,No
36.94,27.32,6.23,Yes
2.08,36.01,5.49,No
81.05,37.28,7.15,No
3.65,31.58,12.21,No
11.8,18.44,2.93,No
16.46,19.32,2.67,No
89.51,5.66,8.83,No
10.93,35.99,0.13,No
39.08,35.33,9.79,No
61.39,44.49,2.22,No
69.44,15.05,2.14,No
44,36.96,1.57,No
44.46,48.62,6.46,No
1.59,11.29,12.5,No
17.28,7.66,11.17,No
74.55,17.61,3.08,No
77.23,0.74,8.95,No
73.08,34.69,0.97,Yes
43.59,38.91,7.81,No
85.05,18.8,2.67,No
28.35,43,13.22,No
14.5,24.14,6.46,Yes
26.42,16.16,13.85,No
7.87,41.49,5.44,No
21.66,7.73,13.12,No
35.5,27.98,1.98,No
82.61,49.33,3.96,No
1.97,10.6,2.47,No
21.82,27,5.93,No
48.43,23.66,4.58,No
93.84,26.5,5.29,No
27.96,31.49,6.75,Yes
32.92,20.27,11.14,No
48.9,2.42,4,No
80.46,18.68,8.15,No
65.35,43.56,6.04,No
28.41,46.48,9.51,No
38.96,38.37,13.91,No
60.98,9.14,8.79,No
93.76,3.25,1.31,No
75.33,31.88,4.51,No
67.64,19.08,4.77,No
55.75,28.13,13.53,No
26.58,0.21,13.42,No
22.26,20.94,4.97,No
42.49,20.41,12.79,No
34.26,2.71,6.62,No
12.17,21.87,7.44,No
92.8,24.5,13.86,No
17.49,17.41,1.96,No
53.31,34.07,0.42,Yes
7.18,8.26,6.82,No
93.68,3.73,11.85,No
80.68,26.36,0.47,No
12.98,43.06,5.59,No
23.4,15.1,10.49,No
24.49,32.71,2.09,No
92.89,48.11,7.47,No
43.76,4.93,13.92,No
77.72,4.66,1.28,No
26.9,11.95,2.46,No
21.55,12.7,8.7,No
46.62,39.51,3.81,No
80.53,27.74,11.1,No
37.9,39.39,8.23,No
72.93,15.69,7.18,Yes
33.01,18.95,10.23,No
54.39,8.12,9.06,No
77.17,2.26,8.91,No
56.29,20.09,12.55,No
35.95,47.41,7.18,No
99.07,37.75,9.36,No
80.52,19.46,11.33,No
74.21,23.99,12.41,No
51.25,37.66,8.95,No
20.39,17.82,11.98,No
75.9,14.76,7.74,No
33.77,40.64,3.47,No
58.96,18.47,5.36,No
78.95,41.94,12.71,No
84.12,15.43,8.68,No
49.97,22.01,10.56,No
52.85,20.76,12.55,No
50.63,39.01,5.17,No
76.04,5.54,13.53,No
47.82,47.95,1.48,No
2.01,42.32,11.03,No
91.95,45.15,6.15,No
34.5,32.13,13.3,Yes
89.75,40.36,9,No
91.68,32.82,2.37,No
24.57,32.53,13.65,No
91.92,30.24,9.66,No
25.97,40.53,12.84,No
42.61,26.95,6.73,No
74.2,38.65,8.81,No
1.11,27.5,5.57,No
36.86,8.93,12.94,No
97.8,9.59,8.15,No
92.9,33.89,10.46,No
97.45,7.96,7.92,No
67.46,27.94,1.58,No
29.29,30.39,1.33,Yes
91.29,26.11,2.71,No
72.56,33.04,3.49,Yes
35.62,25.97,8.68,No
1.81,23.33,3.15,No
77.52,2.35,4.78,No
73.6,18.86,4.88,No
47.63,16.64,9.06,No
94.35,42.84,5.67,No
53.43,24.65,9.86,No
87.03,37.08,0.89,No
14.09,14.68,3.55,No
58.46,9.3,2.51,No
23.13,28.94,3.92,No
68.9,44.98,11.04,No
92.48,39.9,10.11,No
31,42.01,13.91,No
67.07,11.97,9.66,No
33.67,2.07,8.94,No
58.9,13.7,0.51,No
23.47,36.17,6.48,No
43.09,7.72,7.18,No
66.91,43.28,11.71,No
60.91,28.71,5.76,Yes
45.53,7.75,2.28,No
38.36,9.57,6.14,No
84.96,14.15,3.2,No
15.6,4.98,2.97,No
3.42,28.81,0.38,No
44.37,24.23,8.9,No
81.82,22.62,10.75,No
8.47,31.52,11.24,No
35.59,8.81,7.09,No
39.47,8.57,9.09,No
23.1,40.76,12.27,No
52.83,38.52,5.65,No
54.37,45.21,2.69,No
85.3,0.81,13.8,No
60.18,42.61,8.39,No
23.06,38.67,3.43,No
61.39,9.92,3.7,No
11.22,9.97,7.96,No
49.73,5.84,8.76,No
86.48,24.12,4.84,No
35.82,39.81,11.99,No
56.99,19.13,0.35,No
63.43,28.37,12.65,No
3.45,39.35,0.29,No
80.22,43.71,11.5,No
13.15,29.11,7.2,No
82.73,47,2.84,No
53.12,21.64,6.41,Yes
88.74,20.04,8.07,No
69.25,47.74,7.62,No
97.04,22.3,13.99,No
83.02,25.96,1.76,No
64.29,45.84,11.66,No
3.78,37.8,2.53,No
85.61,8.79,4.47,No
41.36,28.61,13.27,No
95.28,22.86,9.67,No
39.66,21.9,6.95,No
8.91,10.91,13.71,No
10.54,46.82,7.33,No
69.32,19.5,9.04,No
7.81,10.74,9.78,No
25.22,40.78,8.54,No
63.57,33.36,1.55,Yes
51.17,15.82,3.14,No
82.53,34.22,12.89,No
21.94,22.23,2.55,No
74.56,11.33,7.16,No
11.98,7.89,13.33,No
22.65,9.24,8.62,No
48.78,6.81,4.66,No
25.96,42.63,7.95,No
54.94,2.13,7.22,No
48.35,43.9,2.86,No
21.54,8.43,5.91,No
22.16,48.51,2.44,No
49.64,21.76,13.4,No
64.35,38.82,10.78,No
55.28,18.43,2.31,No
60.25,17.38,3.58,No
2.65,0.25,1.65,No
90.14,6.44,13.75,No
9.64,1.17,4.6,No
50.78,49.34,2.05,No
61.02,8.12,9.58,No
81.69,32.11,6.66,No
50.13,45.45,12.72,No
27.79,2.32,10.98,No
17.08,37.65,12.88,No
62.49,26.97,13.24,No
0,49.62,5.25,No
88.37,30.65,12.84,No
39.55,5.19,5.34,No
0.23,36.39,11.02,No
49.51,25.55,2.31,No
18.84,40.26,6.82,No
40.52,13.73,5.85,No
49.75,14.17,6.58,No
46.92,12.82,6.46,Yes
66.15,11.71,0.86,No
72.87,26.65,5.45,No
24.84,48.22,3.63,No
78.98,41.81,11.72,No
77.2,30.26,12.84,No
58.6,22.34,6.04,Yes
56.88,6.4,2.46,No
7.08,37.12,4.3,No
73.2,25.9,8.34,No
55.35,34.32,10.57,Yes
40.81,26.45,11.29,No
3.44,15.88,5.95,No
91.65,5.03,2.22,No
31.19,38.46,2.26,No
77.9,4.28,6.98,No
36.98,17.06,0.34,No
23.54,31.75,13.36,No
49.77,35.85,6.39,No
60.75,10.64,4.15,No
72.85,32.71,4.16,Yes
99.3,28.31,13.16,No
52.32,16.03,7.97,No
55.98,20.81,12.29,No
44.92,28.33,1.16,No
50.85,5.49,8.27,No
79.2,21.38,3.83,No
26.79,18.62,13.64,No
34.85,27.82,3.6,No
93.37,25.67,12.73,No
46.18,24.51,12.59,No
44.5,39.47,0.76,No
4.95,27.42,8.49,No
75.39,12.58,1.71,No
45.39,19.76,12.7,No
3.95,11.13,0.25,No
50.24,25.75,7.21,Yes
57.76,38.49,6.39,No
10.9,44.26,0.8,No
66.76,15.19,13.93,No
82.01,17.19,13.68,No
94.87,3.52,12.1,No
88.14,41.4,4.82,No
19.46,21.51,13.13,No
58.02,1.1,3.85,No
54.28,39.56,0.91,No
76.88,22.04,5.8,No
11.34,25.07,6.05,Yes
90.43,3.7,3.1,No
31.49,44.28,2.23,No
19.72,30.32,1.67,No
74.93,8.6,9.93,No
84.8,38.64,1.83,No
65.97,48.92,7.6,No
0.12,9.12,7.55,No
39.99,25.65,11.11,No
20.46,40.62,3.46,No
83.94,48.82,6.5,No
38.86,38.34,3.57,No
94.62,28.91,9.81,No
78.69,20,1.82,No
37.6,15.37,3.29,No
58.45,40.35,12.22,No
40.27,8.46,5.7,No
16.65,44.14,2.4,No
34.7,38.54,12.72,No
17.03,32.23,7.3,No
30.17,19.38,3.57,No
50.9,38.76,5.91,No
78.32,21.1,7.66,No
25.54,30.73,10.4,Yes
46.07,18.34,0.35,No
51.28,46.04,10.1,No
49.04,24.56,6.82,No
58.78,7.54,2.06,No
34.03,38.66,0.7,No
31.71,13.41,0.56,No
66.1,46.99,1.67,No
13.3,49.26,1.43,No
96.24,9.87,9.84,No
2.22,3.72,12.48,No
24.65,32.81,10.88,No
83.23,33.58,0.06,No
93.63,49.83,6.28,No
4.46,41.34,12.61,No
84.47,29.89,7.05,No
0.27,4.97,10.56,No
53.36,18.75,11.16,No
10.13,21.83,9.02,No
54.66,11.66,12.85,No
13.45,10.16,4.61,No
56.25,0.78,4.72,No
25.76,10.47,8.5,No
25.69,22.05,5.25,No
91.9,29.68,4.66,No
61.69,45.72,1.61,No
89.15,2.89,8.7,No
16.93,40.23,4.37,No
90.73,34.14,3.95,No
63.48,5.73,11.51,No
61.7,32.94,5.47,Yes
67.12,29.51,8.35,Yes
87.94,0.3,12.11,No
2.5,16.79,12.62,No
99.03,13.4,5.27,No
92.04,43.9,8.39,No
85.24,8.17,4.41,No
41.82,11.09,8.35,No
8.26,24.01,6.05,Yes
83.22,22.16,13.94,No
22.19,37.73,4.94,No
68.68,11.14,7.64,No
65.11,13.56,13.4,No
51.7,29.36,10.75,No
34.35,0.47,0.01,No
45.45,21.64,10.04,No
66.79,31.65,1.25,Yes
71.06,40.94,10.27,No
7.04,19.06,2.7,No
63.84,24.79,9.93,No
29.07,25.51,2.65,No
68.73,36.35,13.28,No
73.23,3.88,1.6,No
29.47,18.34,12.81,No
30.45,34.02,2.35,No
87.33,14.55,6.23,No
78.52,39.15,2.01,No
46.12,19.39,8.8,No
44.65,24.07,1.39,No
98.53,32.84,4.2,No
8.44,6.32,6.17,No
15.22,22.79,4.03,No
83.46,14.62,7.86,No
68.3,12.94,0.73,No
98.14,10.88,13.72,No
0.89,9.31,13.54,No
29.17,46.11,11.59,No
6.17,14.39,6.96,No
23.64,21.34,13.14,No
25.06,20.19,3.46,No
48.45,14.66,11.37,No
52.36,26.24,8.76,No
41.67,11.97,5.23,No
85.19,5.71,11.7,No
59.87,21.44,7.05,Yes
2.62,27.76,3.32,No
46.32,23.92,8.69,No
85.98,33.91,5.75,No
43.62,6.6,8.28,No
69.68,22.32,8.01,No
12.66,27.64,10.79,No
79.49,39.8,5.53,No
50.01,1.16,0.08,No
91.03,37.84,5.94,No
86.04,6.15,0.85,No
2.95,24.6,9.25,No
58.4,2.58,8.33,No
43.96,46.53,12.43,No
29.64,30.5,9.79,Yes
74.12,13.7,6.38,Yes
20.58,19.11,6.77,No
21.84,22.45,9.44,No
19.64,18.7,2.78,No
7.07,11.71,10.34,No
53.51,23.03,9.01,No
41.76,20.2,11.56,No
6.27,11.74,11.65,No
89.57,41.83,4.75,No
71.48,19.86,6.45,Yes
98.09,47.75,1.57,No
79.33,40.81,0.69,No
79.58,20.33,12.96,No
19.13,0.34,1.31,No
22.49,28.65,8.93,No
96.44,5.16,2.52,No
74.33,46.42,8.45,No
38.95,47.85,1.76,No
12.87,7.18,6.84,No
85.06,16.62,5.11,No
60.85,13.66,3.99,No
61.3,43.66,0.86,No
88.64,46.34,7.03,No
52.11,5.36,1.43,No
45.43,46.82,6.12,No
34.16,20.05,0.8,No
13.63,40.25,11.37,No
29.63,36.37,13.45,No
74.39,6.76,4.46,No
48.88,29.2,5.87,No
64.26,4.14,8.56,No
35.34,0.99,6.05,No
95.57,1.95,12.37,No
100,28.12,1.25,No
20.79,16.59,11.19,No
91.7,0.2,5.49,No
22.35,35.14,7.52,No
78.28,36.9,13.22,No
76.15,37.71,10.6,No
67.86,28.7,10.48,No
35.19,33.76,6.94,Yes
22.98,37.89,12.96,No
16.56,3.92,12.03,No
11.01,40.12,9.62,No
67.96,11.5,4.49,No
31.78,7.69,13.72,No
47.89,22.86,1.68,No
66.35,12.95,0.66,No
48.37,48.92,1.35,No
38.81,13.45,0.6,No
24.11,19.31,0.97,No
4.11,44.77,2.47,No
64.08,10.29,9.28,No
42.73,30.13,11.68,Yes
51.51,18.96,5.09,No
3.18,3.67,7.19,No
81.85,32.47,6.49,Yes
67.33,18.48,10.07,No
62.06,44.49,1.23,No
91.94,3.53,5.82,No
0.19,21.38,13.78,No
73.15,42.48,4.91,No
70.95,21.37,1.58,No
55.96,8.4,5.91,No
3.61,41.24,5.96,No
4.97,38.47,2.13,No
36.96,2.84,1.12,No
94.89,22.69,8.8,No
87.98,48.06,6.15,No
73.38,26.17,7.66,No
19.06,5.58,12.62,No
55.77,0.13,0.76,No
66.38,34.24,0.74,Yes
63.52,18.6,1.66,No
60.54,8.23,12.83,No
63.76,42.22,12.35,No
16.85,23.42,4.72,No
17.8,25.65,6.49,Yes
5.99,42.01,0.01,No
44.44,8.12,7.92,No
79.56,42.74,1.59,No
63.05,44.66,2.6,No
59.21,12.57,7.99,No
26,19.74,7.94,No
42.72,23.29,6.28,Yes
18.1,46.24,0.34,No
95.4,19.12,4.35,No
91.56,46.5,9.57,No
79.1,43.23,1.59,No
92.62,33.55,11,No
29.85,3.94,5.16,No
43.54,30.13,1.35,Yes
33.81,33.96,1.93,No
40.53,37.43,0.01,No
72,18.91,1.46,No
43.35,41.24,11.53,No
32.98,8.79,1.49,No
60.6,1.18,9.69,No
14.29,13.75,4.39,No
60.46,19.29,9.77,No
43.13,43.79,12.03,No
72.36,30.64,13.86,Yes
14.64,40.19,10.32,No
62.93,35.42,4.68,No
43.69,11.58,10.22,No
